file,lhs,op,rhs,beta,se,z,pval,level,sub_membership
FisherData13,content,~,energeticlag,-0.379181196797958,0.0809881290865417,-4.68193550184096,2.84178902631993E-06,ind,3
FisherData13,accepted,~,positive,0.665119509235263,0.0636343551474233,10.4522078945306,0,sub,3
FisherData14,energetic,~,energeticlag,0.168904043682632,0.080139066003379,2.10763678822398,0.035062418888572,group,3
FisherData14,enthusiastic,~,enthusiasticlag,0.339798065303969,0.0729268430744193,4.65943747156608,3.17074692834929E-06,group,3
FisherData14,content,~,contentlag,0.351552038130367,0.071885420345069,4.89044978025898,1.00605824804312E-06,group,3
FisherData14,positive,~,positivelag,0.427815013293654,0.0737757830219967,5.79885425500802,6.67695299050308E-09,group,3
FisherData14,accepted,~,acceptedlag,0.256216649688823,0.0834259409150435,3.07118681405992,0.00213209706459172,group,3
FisherData14,enthusiastic,~,energetic,0.321720007021336,0.0758739196586819,4.24019226196024,2.23328418262891E-05,group,3
FisherData14,content,~,positive,0.280447022201696,0.0744268796053812,3.76808786944521,0.000164502801403899,group,3
FisherData14,positive,~,enthusiastic,0.216777412091965,0.0791366053141426,2.7392811611193,0.0061573691322887,group,3
FisherData14,energetic,~,content,0.332952152108936,0.0809645218349675,4.11232160164674,3.91700129758199E-05,ind,3
FisherData14,content,~,enthusiastic,0.232346106666748,0.0756295325931701,3.07216108179057,0.00212515010077574,ind,3
FisherData14,enthusiastic,~,positivelag,-0.183079161410174,0.0770614214316344,-2.37575635134883,0.0175130226549867,ind,3
FisherData14,accepted,~,enthusiasticlag,-0.198608011310222,0.0845745670454146,-2.34831839226057,0.0188583931417883,ind,3
FisherData14,accepted,~,positive,0.18454671197546,0.084360936358094,2.18758491717184,0.0286998514910324,ind,3
FisherData14,positive,~,acceptedlag,-0.173475763307575,0.0795349938816182,-2.18112499720287,0.0291741724036509,ind,3
FisherData15,energetic,~,energeticlag,0.324892611169301,0.0706081780051863,4.60134534480463,4.19770778448125E-06,group,3
FisherData15,enthusiastic,~,enthusiasticlag,0.349630251830457,0.0653463604735199,5.3504166000513,8.77519865660759E-08,group,3
FisherData15,content,~,contentlag,0.204901338503386,0.0581007265135132,3.5266570798513,0.000420841445236464,group,3
FisherData15,positive,~,positivelag,0.405370592433282,0.064800425419042,6.25567794982657,3.95792731922029E-10,group,3
FisherData15,accepted,~,acceptedlag,0.344461048114877,0.0614802300358621,5.60279374221517,2.10924162580284E-08,group,3
FisherData15,enthusiastic,~,energetic,0.533667407437474,0.0684391008958915,7.79769752161532,6.21724893790088E-15,group,3
FisherData15,content,~,positive,0.440925183106777,0.0714269078211381,6.17309633802024,6.6965388789697E-10,group,3
FisherData15,positive,~,enthusiastic,0.487659537877064,0.0654939472510704,7.44587184534206,9.63673585374636E-14,group,3
FisherData15,energetic,~,content,0.440731992416225,0.0791372917838217,5.56920741766305,2.55900709511536E-08,ind,3
FisherData15,content,~,enthusiastic,0.312344088795916,0.073816738536652,4.23134501723927,2.32298029796407E-05,ind,3
FisherData15,accepted,~,content,0.271215991604664,0.0983016884119624,2.75901661493395,0.00579755872491083,ind,3
FisherData15,accepted,~,positive,0.351384168334545,0.0951888573711572,3.69144223429891,0.000222986043735718,sub,3
FisherData16,energetic,~,energeticlag,0.551761631305279,0.0617378423081523,8.93717063436181,0,group,3
FisherData16,enthusiastic,~,enthusiasticlag,0.374368166530009,0.05989565724795,6.25033906849436,4.0956260605185E-10,group,3
FisherData16,content,~,contentlag,0.254887309846,0.0678150047711243,3.75856804414075,0.000170888567541327,group,3
FisherData16,positive,~,positivelag,0.365799582569775,0.0625384940129131,5.84919077990979,4.93970264692223E-09,group,3
FisherData16,accepted,~,acceptedlag,0.435478677467365,0.0582775551357757,7.47249393789396,7.86037901434611E-14,group,3
FisherData16,enthusiastic,~,energetic,0.233403782361805,0.0629441743364431,3.7081077768093,0.00020881378455484,group,3
FisherData16,content,~,positive,0.593211538736491,0.0670533407002187,8.84686031362129,0,group,3
FisherData16,positive,~,enthusiastic,0.294496752621005,0.083324253325174,3.53434613415289,0.00040878536438882,group,3
FisherData16,energetic,~,content,0.248756976778487,0.0769090950850688,3.23442860045795,0.00121886392121251,ind,3
FisherData16,enthusiastic,~,content,0.377166442286592,0.070444905451725,5.35406272274805,8.60010265224531E-08,ind,3
FisherData16,accepted,~,energeticlag,-0.261116529336137,0.0696750575163935,-3.7476327776938,0.000178511344990806,ind,3
FisherData16,positive,~,energetic,0.246667162246239,0.0762444578362416,3.23521432568951,0.00121551452164903,ind,3
FisherData16,accepted,~,content,0.286693540979344,0.0999620738658308,2.86802314009756,0.00413045322546224,ind,3
FisherData16,accepted,~,positive,0.369338531561277,0.107505126885455,3.43554342254581,0.000591366685083861,sub,3
FisherData17,energetic,~,energeticlag,0.182194631199652,0.0714788959337818,2.54892900652015,0.0108054294311446,group,2
FisherData17,enthusiastic,~,enthusiasticlag,0.108497661537277,0.0598629539904676,1.81243414006189,0.0699191416823866,group,2
FisherData17,content,~,contentlag,0.386979847112513,0.0797377572995094,4.85315690105187,1.21511477835234E-06,group,2
FisherData17,positive,~,positivelag,0.247550918427934,0.0595858873014841,4.15452265022775,3.25967328145271E-05,group,2
FisherData17,accepted,~,acceptedlag,0.239976200730341,0.0743695301937299,3.226808077249,0.00125179393004848,group,2
FisherData17,enthusiastic,~,energetic,0.479080966330971,0.0737623359088918,6.49492671873504,8.30737700852069E-11,group,2
FisherData17,content,~,positive,0.281010272500019,0.105769962350386,2.65680601803669,0.00788848194270919,group,2
FisherData17,positive,~,enthusiastic,0.28539309948973,0.097427784208672,2.92927835532492,0.00339750020348739,group,2
FisherData17,energetic,~,content,0.560295492244638,0.0720835904443724,7.77285771686169,7.7715611723761E-15,ind,2
FisherData17,enthusiastic,~,content,0.33418269102753,0.0790594088194883,4.2269819116729,2.36846698957738E-05,ind,2
FisherData17,positive,~,energetic,0.347996078233211,0.0938718615077231,3.70713942009747,0.000209613558063815,ind,2
FisherData17,accepted,~,positive,0.577311654166154,0.0652758703990203,8.84418163460932,0,sub,2
FisherData18,energetic,~,energeticlag,0.237459454613236,0.0680255149781474,3.49074100636383,0.000481682949772688,group,2
FisherData18,enthusiastic,~,enthusiasticlag,0.387943645735637,0.0670221732618771,5.78828806729107,7.11073910864002E-09,group,2
FisherData18,content,~,contentlag,0.240553938896252,0.0708138478571974,3.39699008280628,0.000681314360807761,group,2
FisherData18,positive,~,positivelag,0.577714235543716,0.0618754557192612,9.33672695947319,0,group,2
FisherData18,accepted,~,acceptedlag,0.318562292759059,0.0699294840724694,4.55547895118067,5.22663495061693E-06,group,2
FisherData18,enthusiastic,~,energetic,0.45978366370491,0.0710562886040798,6.47069629919443,9.75524105939485E-11,group,2
FisherData18,content,~,positive,0.571762132633399,0.0628950290190571,9.09073644691627,0,group,2
FisherData18,positive,~,enthusiastic,0.184651675343499,0.079143556422753,2.33312329758298,0.0196416750251045,group,2
FisherData18,energetic,~,positive,0.580904350659065,0.064436880913762,9.01509108481691,0,ind,2
FisherData18,accepted,~,positive,0.529982023353446,0.0647985611637943,8.17891653510308,2.22044604925031E-16,sub,2
FisherData19,energetic,~,energeticlag,0.631045147095842,0.0590269439375815,10.6907982185753,0,group,1
FisherData19,enthusiastic,~,enthusiasticlag,0.534288276505427,0.0861644230973677,6.20079909200656,5.6177196228191E-10,group,1
FisherData19,content,~,contentlag,0.291678795508535,0.0788106618304087,3.70100680205165,0.000214745718967846,group,1
FisherData19,positive,~,positivelag,0.10383858245672,0.0698162274269867,1.48731299704376,0.136932163397627,group,1
FisherData19,accepted,~,acceptedlag,0.667082806767737,0.0544074091171075,12.260881699621,0,group,1
FisherData19,enthusiastic,~,energetic,0.788039151880819,0.0551558836386658,14.2874902892206,0,group,1
FisherData19,content,~,positive,0.466691330742903,0.072565161663245,6.43134143225214,1.26482602169631E-10,group,1
FisherData19,positive,~,enthusiastic,0.668004741996253,0.0592393105248848,11.2763760428245,0,group,1
FisherData19,enthusiastic,~,energeticlag,-0.418757285205375,0.0963459280618904,-4.34639318577506,1.3839439729102E-05,ind,1
FisherData19,positive,~,accepted,0.244863758074141,0.0641232372174094,3.81864311129415,0.000134187729937674,ind,1
FisherData2,energetic,~,energeticlag,0.585975250592532,0.0620395609106459,9.44518694186921,0,group,2
FisherData2,enthusiastic,~,enthusiasticlag,0.303285096941197,0.0776673069715699,3.90492613645294,9.42541689681331E-05,group,2
FisherData2,content,~,contentlag,0.313745364105864,0.0642871948824912,4.88037103935473,1.05886435775027E-06,group,2
FisherData2,positive,~,positivelag,0.372474556394505,0.0633620134163897,5.87851515933927,4.1396290839657E-09,group,2
FisherData2,accepted,~,acceptedlag,0.296540042519958,0.0715973505408524,4.14177396621342,3.4462989284334E-05,group,2
FisherData2,enthusiastic,~,energetic,0.4559386793964,0.0732211344004027,6.22687265268445,4.75837591551453E-10,group,2
FisherData2,content,~,positive,0.546776532112366,0.0580202195018508,9.42389630385532,0,group,2
FisherData2,positive,~,enthusiastic,0.546306529122852,0.05807060806063,9.40762542993294,0,group,2
FisherData2,accepted,~,enthusiastic,0.399462617759138,0.0899263946960569,4.44210644838244,8.90824676225144E-06,ind,2
FisherData2,accepted,~,positive,0.179705830972873,0.0916058493737529,1.96172877825379,0.0497940694785697,sub,2
FisherData20,energetic,~,energeticlag,0.439743453386366,0.0718931131180613,6.11662834330499,9.55759249521293E-10,group,1
FisherData20,enthusiastic,~,enthusiasticlag,0.531920229564801,0.0606824197090626,8.76563973742401,0,group,1
FisherData20,content,~,contentlag,0.352964406515111,0.0540988057012691,6.52443990102411,6.82560674647448E-11,group,1
FisherData20,positive,~,positivelag,0.649599374633112,0.0515655638577885,12.5975423525791,0,group,1
FisherData20,accepted,~,acceptedlag,0.676560348094487,0.0492969183031487,13.7241915191131,0,group,1
FisherData20,enthusiastic,~,energetic,0.329653112142446,0.068370610536326,4.82156162650176,1.42438700900804E-06,group,1
FisherData20,content,~,positive,0.387898562177275,0.0639453952270676,6.06609061997134,1.31061206332106E-09,group,1
FisherData20,positive,~,enthusiastic,0.333334508138901,0.0583078687734788,5.71680143950858,1.08547828503447E-08,group,1
FisherData20,energetic,~,content,0.36770496891979,0.0763638483304192,4.81517075107012,1.47074074585696E-06,ind,1
FisherData20,content,~,enthusiastic,0.275650843072891,0.0561168885656284,4.91208351208779,9.01136533615343E-07,ind,1
FisherData21,energetic,~,energeticlag,0.635164032780283,0.0563702616153838,11.2677148301001,0,group,1
FisherData21,enthusiastic,~,enthusiasticlag,0.750896160251602,0.0618045120494176,12.1495362612231,0,group,1
FisherData21,content,~,contentlag,0.446259782110686,0.0754599043466045,5.91386625751489,3.34169247828697E-09,group,1
FisherData21,positive,~,positivelag,0.541667677943583,0.0665547248482823,8.13868105049438,4.44089209850063E-16,group,1
FisherData21,accepted,~,acceptedlag,0.32852208476984,0.0816790689113704,4.02210859095759,5.7679453124404E-05,group,1
FisherData21,enthusiastic,~,energetic,0.466593465472826,0.0716083011413642,6.5159130720293,7.22488735505067E-11,group,1
FisherData21,content,~,positive,0.43547170525429,0.0747472775479685,5.82592061596932,5.67986124799802E-09,group,1
FisherData21,positive,~,enthusiastic,0.364484697142505,0.0700190179563607,5.20550998543953,1.93464543274402E-07,group,1
FisherData21,accepted,~,content,0.383328584850218,0.078555891050064,4.87969240404797,1.06251423459547E-06,ind,1
FisherData21,enthusiastic,~,energeticlag,-0.306513226755422,0.0794889354488471,-3.85604895857072,0.000115234418543331,ind,1
FisherData22,energetic,~,energeticlag,0.256520801630385,0.0708729209734158,3.61944728828948,0.000295232940961121,group,1
FisherData22,enthusiastic,~,enthusiasticlag,0.449512667474454,0.0836365418378728,5.37459652918006,7.67543557600447E-08,group,1
FisherData22,content,~,contentlag,0.467653923695171,0.0651495099178733,7.17816487468118,7.0654593287145E-13,group,1
FisherData22,positive,~,positivelag,0.372322759364401,0.0714640156832061,5.20993336023652,1.88908470866167E-07,group,1
FisherData22,accepted,~,acceptedlag,0.557969222666584,0.0611562235311713,9.1236703388362,0,group,1
FisherData22,enthusiastic,~,energetic,0.230872431286995,0.148334982907517,1.55642604840517,0.11960681508403,group,1
FisherData22,content,~,positive,0.409989109749483,0.0676236486191995,6.06280669737599,1.33766397958368E-09,group,1
FisherData22,positive,~,enthusiastic,0.342236377701924,0.0727687345786348,4.70306897163505,2.56279796739811E-06,group,1
FisherData22,energetic,~,enthusiastic,0.500718962673616,0.118467593087927,4.22663236098652,2.37214759850612E-05,ind,1
FisherData22,accepted,~,positive,0.285399768153977,0.0706654104607257,4.03874775923924,5.37373136533237E-05,ind,1
FisherData23,energetic,~,energeticlag,0.433964918396711,0.0681020735020978,6.37227173976344,1.86248572120462E-10,group,1
FisherData23,enthusiastic,~,enthusiasticlag,0.41524890733266,0.0755105312334362,5.49921846065343,3.81478271194169E-08,group,1
FisherData23,content,~,contentlag,0.397921577124873,0.0706986657552526,5.62841706945946,1.81870905002768E-08,group,1
FisherData23,positive,~,positivelag,0.493536758239351,0.0655693068626961,7.52694792508376,5.19584375524573E-14,group,1
FisherData23,accepted,~,acceptedlag,0.409316050058843,0.0654777462261067,6.25122386841782,4.07248679223926E-10,group,1
FisherData23,enthusiastic,~,energetic,0.410247865495132,0.0772398363709932,5.31135078438874,1.08815646937543E-07,group,1
FisherData23,content,~,positive,0.452158441709048,0.0703173708924655,6.43025238245215,1.27392318916009E-10,group,1
FisherData23,positive,~,enthusiastic,0.347932933502452,0.070263196541609,4.95185176063561,7.35105946336745E-07,group,1
FisherData23,accepted,~,positive,0.269422402624093,0.075346980333858,3.57575580906227,0.000349217508410771,ind,1
FisherData23,energetic,~,content,0.374765590404879,0.0708966901957397,5.28608020163118,1.24965122694221E-07,ind,1
FisherData23,accepted,~,energetic,0.267142141805111,0.0767225466076785,3.48192485282253,0.000497823375999129,ind,1
FisherData24,energetic,~,energeticlag,0.527384665566513,0.0682098623870074,7.73179489168663,1.06581410364015E-14,group,1
FisherData24,enthusiastic,~,enthusiasticlag,0.305675574490734,0.0646508795926799,4.72809614372739,2.26634871225428E-06,group,1
FisherData24,content,~,contentlag,0.542820251644487,0.0650726082283903,8.3417626313565,0,group,1
FisherData24,positive,~,positivelag,0.400904960131274,0.0849155168313258,4.72122145741187,2.34432515910932E-06,group,1
FisherData24,accepted,~,acceptedlag,0.577126715032402,0.0552415968741717,10.4473213608754,0,group,1
FisherData24,enthusiastic,~,energetic,0.405377505028227,0.0665872987744198,6.087910344607,1.14393894357079E-09,group,1
FisherData24,content,~,positive,0.116482956049765,0.0860778598740386,1.35322783605702,0.175982855099468,group,1
